fish,trial,frame,frame_raw,time_ms,pt_num,landmark,x,y,z
bass_1,s01,31,216,30,1,lj,4.017935,5.042449,4.421966
bass_1,s01,31,216,30,6,p2,9.489868080532064,5.499588190421214,6.894141804975091
bass_1,s01,31,216,30,4,pm,3.951249,7.216501,4.601845
bass_1,s01,31,216,30,8,quad,5.703779584912294,5.365348433736678,5.896143391430032
bass_1,s01,31,216,30,2,so,6.407488,5.528103,6.509283
bass_1,s01,31,216,30,7,uro,5.783933,4.972407,5.065629
bass_1,s01,32,217,31,5,basi,5.135563,4.988715,4.871033
bass_1,s01,32,217,31,3,eye,5.325668,6.927099,6.124331
bass_1,s01,32,217,31,1,lj,3.893576,5.04419,4.362285
bass_1,s01,32,217,31,6,p2,9.421219103054725,5.473823651889869,6.878956823677062
bass_1,s01,32,217,31,4,pm,3.867991,7.182355,4.540936
bass_1,s01,32,217,31,8,quad,5.606749670118692,5.417953782403404,5.913861043795954
bass_1,s01,32,217,31,2,so,6.263618,5.562894,6.504117
bass_1,s01,32,217,31,7,uro,5.720894,4.900659,5.08688
bass_1,s01,33,218,32,5,basi,5.048559,4.963728,4.826541
bass_1,s01,33,218,32,3,eye,5.210242,6.916007,6.137654
bass_1,s01,33,218,32,1,lj,3.799031,5.062969,4.294234
bass_1,s01,33,218,32,6,p2,9.353719440846618,5.4486768740975355,6.861129149348329
bass_1,s01,33,218,32,4,pm,3.727191,7.171785,4.479004
bass_1,s01,33,218,32,8,quad,5.48475042220542,5.408364925584894,5.897530743505642
bass_1,s01,33,218,32,2,so,6.162603,5.532566,6.497653
bass_1,s01,33,218,32,7,uro,5.684679,4.843293,5.042753
bass_1,s01,34,219,33,5,basi,4.903588,4.899005,4.781331
bass_1,s01,34,219,33,3,eye,5.108858,6.901471,6.096901
bass_1,s01,34,219,33,1,lj,3.649251,5.17983,4.268557
bass_1,s01,34,219,33,6,p2,9.286198444842292,5.423220443384304,6.840657544613935
bass_1,s01,34,219,33,4,pm,3.611477,7.160003,4.417112
bass_1,s01,34,219,33,8,quad,5.384674522950147,5.420330799068097,5.863258739340286
bass_1,s01,34,219,33,2,so,6.040002,5.494539,6.494623
bass_1,s01,34,219,33,7,uro,5.668185,4.785784,5.009939
bass_1,s01,35,220,34,5,basi,4.852014,4.899695,4.726283
bass_1,s01,35,220,34,3,eye,5.001963,6.8732,6.088348
bass_1,s01,35,220,34,1,lj,3.571871,5.227272,4.245069
bass_1,s01,35,220,34,6,p2,9.218174504971998,5.397508548497133,6.817500945443971
bass_1,s01,35,220,34,4,pm,3.552252,7.109647,4.400526
bass_1,s01,35,220,34,8,quad,5.216229093981113,5.4132516861222735,5.823530958867009
bass_1,s01,35,220,34,2,so,5.921351,5.480583,6.468325
bass_1,s01,35,220,34,7,uro,5.626547,4.72795,4.933301
bass_1,s01,36,221,35,5,basi,4.737717,4.914921,4.724654
bass_1,s01,36,221,35,3,eye,4.91303,6.83585,6.060257
bass_1,s01,36,221,35,1,lj,3.461237,5.332159,4.192331
bass_1,s01,36,221,35,6,p2,9.151033811294765,5.3736241513447975,6.791351762488316
bass_1,s01,36,221,35,4,pm,3.456658,7.036713,4.36622
bass_1,s01,36,221,35,8,quad,5.181127895186438,5.413958669420004,5.855444660073317
bass_1,s01,36,221,35,2,so,5.817722,5.426028,6.477124
bass_1,s01,36,221,35,7,uro,5.576807,4.686561,4.889396
bass_1,s01,37,222,36,5,basi,4.614381,4.903218,4.63616
bass_1,s01,37,222,36,3,eye,4.813105,6.798217,6.058014
bass_1,s01,37,222,36,1,lj,3.385353,5.380813,4.190527
bass_1,s01,37,222,36,6,p2,9.085097368686997,5.348378246894697,6.761903528821348
bass_1,s01,37,222,36,4,pm,3.394584,6.932651,4.341657
bass_1,s01,37,222,36,8,quad,5.065725119148163,5.407986054158582,5.84406529536206
bass_1,s01,37,222,36,2,so,5.718587,5.395838,6.474681
bass_1,s01,37,222,36,7,uro,5.519427,4.676509,4.856076
bass_1,s01,38,223,37,5,basi,4.558838,4.930424,4.634913
bass_1,s01,38,223,37,3,eye,4.744576,6.755737,6.036607
bass_1,s01,38,223,37,1,lj,3.311898,5.434115,4.188875
bass_1,s01,38,223,37,6,p2,9.01848666011666,5.323901193484832,6.728825260958125
bass_1,s01,38,223,37,4,pm,3.342379,6.851362,4.32575
bass_1,s01,38,223,37,8,quad,5.00068012174902,5.432119465219975,5.829258330106761
bass_1,s01,38,223,37,2,so,5.615435,5.369008,6.484389
bass_1,s01,38,223,37,7,uro,5.45138,4.661357,4.822676
bass_1,s01,39,224,38,5,basi,4.47951,4.958232,4.644322
bass_1,s01,39,224,38,3,eye,4.701824,6.704717,6.015833
bass_1,s01,39,224,38,1,lj,3.246852,5.468155,4.179527
bass_1,s01,39,224,38,6,p2,8.951407701078784,5.299831386724473,6.692299597151342
bass_1,s01,39,224,38,4,pm,3.275882,6.731669,4.31004
bass_1,s01,39,224,38,8,quad,4.873129134566243,5.389645142416757,5.853425472784475
bass_1,s01,39,224,38,2,so,5.533707,5.346335,6.466395
bass_1,s01,39,224,38,7,uro,5.36822,4.65281,4.843477
bass_1,s01,40,225,39,5,basi,4.422566,4.959515,4.589446
bass_1,s01,40,225,39,3,eye,4.598397,6.640838,5.98709
bass_1,s01,40,225,39,1,lj,3.202576,5.524379,4.184793
bass_1,s01,40,225,39,6,p2,8.884581271513941,5.275077951334049,6.654224199431738
bass_1,s01,40,225,39,4,pm,3.245084,6.67946,4.302181
bass_1,s01,40,225,39,8,quad,4.898170959574449,5.397069241275178,5.876316338310521
bass_1,s01,40,225,39,2,so,5.48667,5.323366,6.465005
bass_1,s01,40,225,39,7,uro,5.288497,4.663814,4.777238
bass_1,s01,41,226,40,5,basi,4.368034,5.000619,4.599156
bass_1,s01,41,226,40,3,eye,4.531984,6.593771,5.959274
bass_1,s01,41,226,40,1,lj,3.157027,5.594092,4.218646
bass_1,s01,41,226,40,6,p2,8.817923768157392,5.2502303187858494,6.6120606437433445
bass_1,s01,41,226,40,4,pm,3.210369,6.58083,4.337451
bass_1,s01,41,226,40,8,quad,4.857084299558695,5.416328643995929,5.834489331639213
bass_1,s01,41,226,40,2,so,5.447616,5.299997,6.431713
bass_1,s01,41,226,40,7,uro,5.180272,4.685484,4.710392
bass_1,s01,42,227,41,5,basi,4.328605,5.028922,4.587929
bass_1,s01,42,227,41,3,eye,4.496124,6.541979,5.951493
bass_1,s01,42,227,41,1,lj,3.104971,5.646134,4.252549
bass_1,s01,42,227,41,6,p2,8.752749746694294,5.2251755147579555,6.567745101583283
bass_1,s01,42,227,41,4,pm,3.169519,6.498419,4.355588
bass_1,s01,42,227,41,8,quad,4.681547052218838,5.377281971154313,5.827117144967872
bass_1,s01,42,227,41,2,so,5.369959,5.25349,6.409203
bass_1,s01,42,227,41,7,uro,5.087045,4.687026,4.687593
bass_1,s01,43,228,42,5,basi,4.259739,5.029381,4.608407
bass_1,s01,43,228,42,3,eye,4.462976,6.499698,5.931378
bass_1,s01,43,228,42,1,lj,3.044353,5.738057,4.279253
bass_1,s01,43,228,42,6,p2,8.687650749562119,5.2001192065509665,6.521829040946249
bass_1,s01,43,228,42,4,pm,3.125896,6.438315,4.364432
bass_1,s01,43,228,42,8,quad,4.705585029779852,5.374773769227707,5.733911661611094
bass_1,s01,43,228,42,2,so,5.329423,5.201701,6.375303
bass_1,s01,43,228,42,7,uro,5.014433,4.709086,4.675545
bass_1,s01,44,229,43,5,basi,4.1803,5.070209,4.584787
bass_1,s01,44,229,43,3,eye,4.389173,6.47024,5.910359
bass_1,s01,44,229,43,1,lj,2.989867,5.80712,4.327397
bass_1,s01,44,229,43,6,p2,8.623688204019267,5.174969917660891,6.47503813357896
bass_1,s01,44,229,43,4,pm,3.103293,6.385449,4.390438
bass_1,s01,44,229,43,8,quad,4.663919902801654,5.339912226377143,5.777501970628213
bass_1,s01,44,229,43,2,so,5.289262,5.178301,6.334249
bass_1,s01,44,229,43,7,uro,4.901053,4.737029,4.662866
bass_1,s01,45,230,44,5,basi,4.086338,5.113181,4.594642
bass_1,s01,45,230,44,3,eye,4.333848,6.444794,5.889697
bass_1,s01,45,230,44,1,lj,2.976465,5.875639,4.347588
bass_1,s01,45,230,44,6,p2,8.561291043585108,5.149710481866657,6.428123205249785
bass_1,s01,45,230,44,4,pm,3.051242,6.340481,4.40724
bass_1,s01,45,230,44,8,quad,4.585289539002688,5.3515934136217185,5.771054294955723
bass_1,s01,45,230,44,2,so,5.265079,5.12146,6.296769
bass_1,s01,45,230,44,7,uro,4.786577,4.764912,4.6069
bass_1,s01,46,231,45,5,basi,4.035004,5.141926,4.572453
bass_1,s01,46,231,45,3,eye,4.318115,6.419169,5.869934
